customer_id,full_name,date_of_purchase,age,state,mtn_device,gender,satisfaction_rate,customer_review,customer_tenure_in_months,subscription_plan,unit_price,number_of_times_purchased,total_revenue,data_usage,customer_churn_status,reasons_for_churn,region,age_group
cust0001,ngozi berry,jan-25,27,kwara,4g router,male,2,fair,2,165gb monthly plan,35000,19,665000,44.48,yes,relocation,north central,Young_adults(25-34)
cust0002,zainab baker,mar-25,16,abuja (fct),mobile sim card,female,2,fair,22,12.5gb monthly plan,5500,12,66000,19.79,yes,better offers from competitors,north central,Youths(16-24)
cust0003,saidu evans,mar-25,21,sokoto,5g broadband router,male,1,poor,60,150gb fup monthly unlimited,20000,8,160000,9.64,no,,north west,Youths(16-24)
cust0003,saidu evans,mar-25,21,sokoto,mobile sim card,male,1,poor,60,1gb+1.5mins daily plan,500,8,4000,197.05,no,,north west,Youths(16-24)
cust0003,saidu evans,mar-25,21,sokoto,broadband mifi,male,1,poor,60,30gb monthly broadband plan,9000,15,135000,76.34,no,,north west,Youths(16-24)
cust0004,ejiro walker,mar-25,36,gombe,4g router,female,1,poor,14,10gb+10mins monthly plan,4500,9,40500,92.72,no,,north east,Adults(35-44)
cust0005,nura mann,jan-25,57,oyo,4g router,male,3,good,53,25gb monthly plan,9000,16,144000,42.92,no,,south west,Middle_Age(45-59)
cust0006,tamuno lewis,feb-25,74,plateau,mobile sim card,female,5,excellent,9,7gb monthly plan,3500,5,17500,44.25,no,,north central,Seniors(60 Above)
cust0006,tamuno lewis,feb-25,74,plateau,5g broadband router,female,5,excellent,9,1.5tb yearly broadband plan,150000,2,300000,18.64,no,,north central,Seniors(60 Above)
cust0006,tamuno lewis,feb-25,74,plateau,4g router,female,5,excellent,9,65gb monthly plan,16000,6,96000,30.99,no,,north central,Seniors(60 Above)
cust0007,boma stewart,mar-25,24,jigawa,broadband mifi,female,5,excellent,39,120gb monthly broadband plan,24000,11,264000,150.3,yes,relocation,north west,Youths(16-24)
cust0008,ifeanyi park,jan-25,53,kwara,broadband mifi,male,3,good,30,300gb fup monthly unlimited,30000,17,510000,168.41,no,,north central,Middle_Age(45-59)
cust0009,bala robbins,jan-25,35,gombe,broadband mifi,male,5,excellent,35,300gb fup monthly unlimited,30000,10,300000,175.81,no,,north east,Adults(35-44)
cust0010,halima ochoa,mar-25,23,imo,4g router,male,1,poor,6,10gb+10mins monthly plan,4500,20,90000,53.38,no,,south east,Youths(16-24)
cust0010,halima ochoa,mar-25,23,imo,broadband mifi,male,1,poor,6,60gb monthly broadband plan,14500,18,261000,192.89,no,,south east,Youths(16-24)
cust0010,halima ochoa,mar-25,23,imo,mobile sim card,male,1,poor,6,500mb daily plan,350,13,4550,142.73,no,,south east,Youths(16-24)
cust0011,ejiro griffith,feb-25,72,bauchi,4g router,female,2,fair,8,65gb monthly plan,16000,2,32000,14.66,yes,poor network,north east,Seniors(60 Above)
cust0011,ejiro griffith,feb-25,72,bauchi,5g broadband router,female,2,fair,8,60gb monthly broadband plan,14500,2,29000,13.95,yes,poor network,north east,Seniors(60 Above)
cust0011,ejiro griffith,feb-25,72,bauchi,broadband mifi,female,2,fair,8,300gb fup monthly unlimited,30000,8,240000,14.64,yes,poor network,north east,Seniors(60 Above)
cust0012,zainab morton,mar-25,78,ondo,4g router,male,2,fair,47,65gb monthly plan,16000,12,192000,131.97,no,,south west,Seniors(60 Above)
cust0012,zainab morton,mar-25,78,ondo,broadband mifi,male,2,fair,47,60gb monthly broadband plan,14500,2,29000,82.51,no,,south west,Seniors(60 Above)
cust0013,ngozi moreno,jan-25,23,kebbi,4g router,female,2,fair,52,10gb+10mins monthly plan,4500,8,36000,56.07,yes,relocation,north west,Youths(16-24)
cust0013,ngozi moreno,jan-25,23,kebbi,mobile sim card,female,2,fair,52,3.2gb 2-day plan,1000,18,18000,88.9,yes,relocation,north west,Youths(16-24)
cust0014,ngozi crawford,feb-25,22,adamawa,4g router,male,2,fair,6,65gb monthly plan,16000,1,16000,33.35,no,,north east,Youths(16-24)
cust0014,ngozi crawford,feb-25,22,adamawa,mobile sim card,male,2,fair,6,20gb monthly plan,7500,15,112500,53.41,no,,north east,Youths(16-24)
cust0015,abubakar garner,mar-25,70,yobe,broadband mifi,male,2,fair,13,30gb monthly broadband plan,9000,16,144000,10.5,no,,north east,Seniors(60 Above)
cust0015,abubakar garner,mar-25,70,yobe,5g broadband router,male,2,fair,13,300gb fup monthly unlimited,30000,17,510000,11.85,no,,north east,Seniors(60 Above)
cust0015,abubakar garner,mar-25,70,yobe,4g router,male,2,fair,13,65gb monthly plan,16000,3,48000,170.34,no,,north east,Seniors(60 Above)
cust0016,kunle ford,feb-25,46,kebbi,broadband mifi,male,5,excellent,57,300gb fup monthly unlimited,30000,11,330000,41.25,no,,north west,Middle_Age(45-59)
cust0016,kunle ford,feb-25,46,kebbi,4g router,male,5,excellent,57,10gb+10mins monthly plan,4500,5,22500,53.49,no,,north west,Middle_Age(45-59)
cust0016,kunle ford,feb-25,46,kebbi,5g broadband router,male,5,excellent,57,120gb monthly broadband plan,24000,3,72000,91.72,no,,north west,Middle_Age(45-59)
cust0017,tunde hayes,feb-25,74,anambra,4g router,male,5,excellent,35,25gb monthly plan,9000,15,135000,57.35,yes,costly data plans,south east,Seniors(60 Above)
cust0018,david fletcher,mar-25,54,bauchi,5g broadband router,male,1,poor,43,150gb fup monthly unlimited,20000,18,360000,178.0,no,,north east,Middle_Age(45-59)
cust0019,obinna wright,mar-25,50,cross river,mobile sim card,male,2,fair,46,2.5gb 2-day plan,900,14,12600,18.91,no,,south south,Middle_Age(45-59)
cust0019,obinna wright,mar-25,50,cross river,4g router,male,2,fair,46,25gb monthly plan,9000,11,99000,9.3,no,,south south,Middle_Age(45-59)
cust0020,amaka reed,mar-25,49,abuja (fct),4g router,female,5,excellent,36,25gb monthly plan,9000,5,45000,116.71,yes,poor network,north central,Middle_Age(45-59)
cust0020,amaka reed,mar-25,49,abuja (fct),5g broadband router,female,5,excellent,36,450gb 3-month broadband plan,75000,10,750000,25.93,yes,poor network,north central,Middle_Age(45-59)
cust0020,amaka reed,mar-25,49,abuja (fct),broadband mifi,female,5,excellent,36,300gb fup monthly unlimited,30000,2,60000,179.85,yes,poor network,north central,Middle_Age(45-59)
cust0021,oghene brown,mar-25,42,imo,mobile sim card,male,5,excellent,23,10gb+10mins monthly plan,4500,1,4500,176.34,no,,south east,Adults(35-44)
cust0022,shehu ferguson,feb-25,58,kogi,mobile sim card,male,1,poor,18,500mb daily plan,350,15,5250,40.31,no,,north central,Middle_Age(45-59)
cust0023,oghene vazquez,feb-25,55,osun,5g broadband router,male,4,very good,2,200gb monthly broadband plan,25000,13,325000,128.48,no,,south west,Middle_Age(45-59)
cust0024,david johnson,mar-25,58,kano,broadband mifi,male,2,fair,57,120gb monthly broadband plan,24000,11,264000,87.2,no,,north west,Middle_Age(45-59)
cust0024,david johnson,mar-25,58,kano,mobile sim card,male,2,fair,57,20gb monthly plan,7500,17,127500,121.44,no,,north west,Middle_Age(45-59)
cust0025,ifeanyi brown,mar-25,65,benue,4g router,female,1,poor,3,65gb monthly plan,16000,11,176000,189.8,no,,north central,Seniors(60 Above)
cust0025,ifeanyi brown,mar-25,65,benue,mobile sim card,female,1,poor,3,7gb monthly plan,3500,4,14000,132.85,no,,north central,Seniors(60 Above)
cust0025,ifeanyi brown,mar-25,65,benue,5g broadband router,female,1,poor,3,120gb monthly broadband plan,24000,14,336000,101.67,no,,north central,Seniors(60 Above)
cust0026,ese simmons,mar-25,67,cross river,5g broadband router,male,4,very good,13,450gb 3-month broadband plan,75000,1,75000,109.81,no,,south south,Seniors(60 Above)
cust0027,maryam reyes,mar-25,52,ondo,4g router,female,4,very good,51,10gb+10mins monthly plan,4500,10,45000,131.94,no,,south west,Middle_Age(45-59)
cust0027,maryam reyes,mar-25,52,ondo,5g broadband router,female,4,very good,51,200gb monthly broadband plan,25000,8,200000,19.13,no,,south west,Middle_Age(45-59)
cust0027,maryam reyes,mar-25,52,ondo,mobile sim card,female,4,very good,51,1gb+1.5mins daily plan,500,7,3500,45.32,no,,south west,Middle_Age(45-59)
cust0028,obinna sanchez,jan-25,19,rivers,mobile sim card,male,4,very good,31,10gb+10mins monthly plan,4500,5,22500,80.23,no,,south south,Youths(16-24)
cust0028,obinna sanchez,jan-25,19,rivers,mobile sim card,male,4,very good,31,2.5gb 2-day plan,900,4,3600,178.59,no,,south south,Youths(16-24)
cust0029,boma franco,feb-25,44,enugu,5g broadband router,female,1,poor,4,450gb 3-month broadband plan,75000,18,1350000,166.2,no,,south east,Adults(35-44)
cust0029,boma franco,feb-25,44,enugu,4g router,female,1,poor,4,165gb monthly plan,35000,16,560000,179.49,no,,south east,Adults(35-44)
cust0030,alabo davis,mar-25,49,imo,5g broadband router,female,2,fair,50,200gb monthly broadband plan,25000,18,450000,64.28,yes,poor network,south east,Middle_Age(45-59)
cust0030,alabo davis,mar-25,49,imo,broadband mifi,female,2,fair,50,30gb monthly broadband plan,9000,8,72000,28.11,yes,poor network,south east,Middle_Age(45-59)
cust0030,alabo davis,mar-25,49,imo,4g router,female,2,fair,50,165gb monthly plan,35000,7,245000,138.94,yes,poor network,south east,Middle_Age(45-59)
cust0031,kunle west,mar-25,69,kogi,mobile sim card,female,4,very good,35,2.5gb 2-day plan,900,19,17100,171.42,yes,better offers from competitors,north central,Seniors(60 Above)
cust0031,kunle west,feb-25,69,kogi,5g broadband router,female,4,very good,35,450gb 3-month broadband plan,75000,12,900000,95.66,yes,better offers from competitors,north central,Seniors(60 Above)
cust0032,maryam terry,feb-25,65,kogi,mobile sim card,male,3,good,32,7gb monthly plan,3500,13,45500,133.94,no,,north central,Seniors(60 Above)
cust0033,amina mosley,feb-25,75,borno,broadband mifi,male,5,excellent,59,60gb monthly broadband plan,14500,15,217500,27.57,no,,north east,Seniors(60 Above)
cust0034,shehu anderson,feb-25,22,edo,5g broadband router,female,4,very good,21,120gb monthly broadband plan,24000,16,384000,167.06,no,,south south,Youths(16-24)
cust0034,shehu anderson,feb-25,22,edo,mobile sim card,female,4,very good,21,65gb monthly plan,16000,2,32000,149.93,no,,south south,Youths(16-24)
cust0035,oghene mcguire,jan-25,44,kaduna,4g router,male,2,fair,49,165gb monthly plan,35000,19,665000,134.06,yes,poor network,north west,Adults(35-44)
cust0035,oghene mcguire,jan-25,44,kaduna,broadband mifi,male,2,fair,49,150gb fup monthly unlimited,20000,9,180000,93.27,yes,poor network,north west,Adults(35-44)
cust0035,oghene mcguire,jan-25,44,kaduna,5g broadband router,male,2,fair,49,200gb monthly broadband plan,25000,20,500000,33.97,yes,poor network,north west,Adults(35-44)
cust0036,ifeanyi randall,jan-25,36,abia,mobile sim card,male,3,good,38,500mb daily plan,350,8,2800,15.66,no,,south east,Adults(35-44)
cust0036,ifeanyi randall,jan-25,36,abia,5g broadband router,male,3,good,38,150gb fup monthly unlimited,20000,10,200000,139.59,no,,south east,Adults(35-44)
cust0037,ifeanyi ruiz,mar-25,21,ekiti,broadband mifi,female,1,poor,43,60gb monthly broadband plan,14500,12,174000,21.56,no,,south west,Youths(16-24)
cust0037,ifeanyi ruiz,mar-25,21,ekiti,4g router,female,1,poor,43,165gb monthly plan,35000,14,490000,141.61,no,,south west,Youths(16-24)
