Customer ID,Full Name,Date of Purchase,Age,State,REGION,MTN Device,Gender,Satisfaction Rate,Customer Review,Customer Tenure in months,Subscription Plan,Unit Price,Number of Times Purchased,Total Revenue,Data Usage,Customer Churn Status,Reasons for Churn
CUST0001,Ngozi Berry,Jan-25,27,Kwara,North Central,4G Router,Male,2,Fair,2,165GB Monthly Plan,"?35,000.00",19,"?665,000.00",44.48,Yes,Relocation
CUST0002,Zainab Baker,Mar-25,16,Abuja (FCT),North Central,Mobile SIM Card,Female,2,Fair,22,12.5GB Monthly Plan,"?5,500.00",12,"?66,000.00",19.79,Yes,Better Offers from Competitors
CUST0003,Saidu Evans,Mar-25,21,Sokoto,North West,5G Broadband Router,Male,1,Poor,60,150GB FUP Monthly Unlimited,"?20,000.00",8,"?160,000.00",9.64,No,
CUST0003,Saidu Evans,Mar-25,21,Sokoto,North West,Mobile SIM Card,Male,1,Poor,60,1GB+1.5mins Daily Plan,?500.00,8,"?4,000.00",197.05,No,
CUST0003,Saidu Evans,Mar-25,21,Sokoto,North West,Broadband MiFi,Male,1,Poor,60,30GB Monthly Broadband Plan,"?9,000.00",15,"?135,000.00",76.34,No,
CUST0004,Ejiro Walker,Mar-25,36,Gombe,North East,4G Router,Female,1,Poor,14,10GB+10mins Monthly Plan,"?4,500.00",9,"?40,500.00",92.72,No,
CUST0005,Nura Mann,Jan-25,57,Oyo,South West,4G Router,Male,3,Good,53,25GB Monthly Plan,"?9,000.00",16,"?144,000.00",42.92,No,
CUST0006,Tamuno Lewis,Feb-25,74,Plateau,North Central,Mobile SIM Card,Female,5,Excellent,9,7GB Monthly Plan,"?3,500.00",5,"?17,500.00",44.25,No,
CUST0006,Tamuno Lewis,Feb-25,74,Plateau,North Central,5G Broadband Router,Female,5,Excellent,9,1.5TB Yearly Broadband Plan,"?150,000.00",2,"?300,000.00",18.64,No,
CUST0006,Tamuno Lewis,Feb-25,74,Plateau,North Central,4G Router,Female,5,Excellent,9,65GB Monthly Plan,"?16,000.00",6,"?96,000.00",30.99,No,
